obj1_bin_0,obj1_nom_0,obj1_nom_1,obj1_ord_0,obj1_ord_1,obj1_ord_2,obj1_qnt_0,obj1_qnt_1,obj1_qnt_2,obj1_qnt_3,obj2_bin_0,obj2_nom_0,obj2_nom_1,obj2_ord_0,obj2_ord_1,obj2_ord_2,obj2_qnt_0,obj2_qnt_1,obj2_qnt_2,obj2_qnt_3,Collision
0,star,triangle,low,low,low,55.13,97.05,69.77,37.57,0,triangle,circle,high,low,low,39.44,37.47,66.24,61.09,Нет
0,hexagon,triangle,high,medium,medium,42.68,83.79,36.02,3.86,0,square,circle,low,medium,high,56.69,21.07,81.81,80.45,Нет
1,square,square,low,medium,high,36.49,20.76,76.89,65.71,1,square,circle,medium,medium,low,36.0,9.39,0.29,59.4,Да
0,hexagon,star,medium,high,medium,22.2,23.06,80.92,22.26,1,star,triangle,high,low,high,17.9,7.59,36.85,54.16,Да
1,circle,star,low,high,low,25.26,76.8,64.46,68.35,0,star,star,high,medium,high,40.61,18.51,27.52,53.12,Да
0,hexagon,square,low,medium,medium,17.64,77.69,27.9,76.02,1,star,triangle,low,medium,low,14.42,85.02,43.2,50.79,Да
1,star,hexagon,high,medium,high,85.17,12.3,80.27,87.98,1,square,star,high,high,low,71.92,21.65,61.53,77.83,Да
1,star,square,high,medium,high,54.83,0.66,25.18,54.83,1,circle,triangle,high,high,medium,17.15,35.48,18.76,64.24,Да
0,triangle,star,medium,low,low,48.29,40.14,30.3,83.0,0,circle,circle,high,medium,medium,48.24,57.28,13.41,21.55,Да
1,circle,circle,low,low,medium,32.23,69.47,60.88,72.32,0,star,square,medium,high,low,56.04,51.14,72.88,43.33,Да
0,circle,square,low,low,low,51.69,86.67,68.9,35.3,0,circle,hexagon,medium,high,low,94.51,66.58,68.58,52.86,Да
0,hexagon,circle,high,medium,low,88.26,16.53,37.13,10.64,1,triangle,star,low,low,low,7.83,19.43,46.08,41.9,Да
1,star,circle,medium,medium,low,85.61,81.53,59.14,24.22,1,circle,triangle,medium,medium,low,93.05,52.4,50.13,23.76,Да
0,star,triangle,low,medium,low,59.91,68.45,24.8,84.46,1,circle,square,low,medium,high,20.82,76.77,26.99,12.47,Да
1,star,triangle,medium,medium,low,53.0,16.6,79.48,53.44,1,square,hexagon,high,low,high,84.09,38.75,32.92,11.73,Да
0,circle,triangle,medium,medium,low,22.58,87.33,99.21,66.56,0,circle,square,medium,low,high,9.05,97.19,32.01,29.63,Да
1,star,circle,medium,high,medium,69.29,93.3,69.84,80.61,1,star,star,medium,low,high,98.87,57.79,72.63,40.27,Да
1,triangle,star,high,low,low,85.33,26.58,31.94,66.7,1,square,star,medium,high,medium,80.76,67.48,55.56,68.29,Да
0,square,triangle,high,medium,low,30.57,14.87,34.88,85.61,0,circle,hexagon,medium,low,low,6.3,45.91,72.95,98.49,Да
0,star,triangle,low,high,medium,43.55,96.76,3.05,8.64,1,triangle,hexagon,high,low,high,21.41,85.79,59.07,89.74,Да
0,triangle,hexagon,medium,low,high,10.67,2.29,64.7,90.36,1,square,star,high,low,high,54.85,45.15,54.56,81.37,Да
0,triangle,circle,medium,high,medium,85.82,94.84,60.0,81.26,1,square,star,medium,low,low,52.36,94.23,32.06,81.37,Да
1,square,circle,medium,medium,medium,9.77,21.62,95.46,90.3,0,square,circle,high,high,high,62.93,30.75,39.55,59.61,Да
0,circle,triangle,low,high,high,70.43,43.81,40.21,73.09,1,circle,hexagon,high,medium,high,46.35,86.58,88.74,25.28,Да
1,star,hexagon,low,high,medium,18.7,30.84,93.29,27.44,0,star,hexagon,high,low,medium,73.42,63.94,57.59,47.19,Нет
1,triangle,hexagon,medium,high,high,73.36,15.37,76.02,11.39,1,hexagon,star,low,low,high,34.85,79.91,52.45,14.26,Да
0,triangle,square,medium,low,low,64.27,35.25,28.8,12.96,0,hexagon,triangle,medium,medium,low,17.64,3.77,5.31,56.64,Да
0,square,square,medium,high,medium,69.04,53.92,1.64,49.89,0,hexagon,circle,low,medium,high,3.38,27.73,67.09,2.3,Нет
1,triangle,triangle,low,low,high,63.58,9.38,72.67,39.09,0,circle,triangle,low,low,medium,32.48,84.71,68.6,18.95,Нет
1,star,circle,medium,medium,low,39.67,80.92,49.63,65.42,0,triangle,star,high,low,medium,42.69,31.83,69.07,71.23,Да
0,circle,hexagon,medium,medium,high,62.02,80.04,96.19,50.33,1,square,circle,low,medium,low,65.91,71.27,9.12,27.69,Да
0,triangle,hexagon,high,low,high,23.47,79.75,2.21,12.53,0,square,circle,high,low,medium,80.65,99.22,30.05,42.0,Нет
1,circle,hexagon,medium,medium,high,27.39,68.64,52.19,0.22,1,star,star,high,high,high,24.01,17.72,37.12,83.21,Да
0,triangle,circle,high,low,medium,6.51,45.53,78.88,12.83,0,square,square,low,low,low,49.32,41.75,82.65,4.46,Да
1,triangle,square,medium,low,low,61.28,83.37,78.98,14.67,0,star,square,medium,low,high,23.37,16.51,98.07,2.27,Да
1,star,triangle,high,high,high,84.08,85.18,67.21,71.99,0,circle,hexagon,medium,high,low,95.12,15.43,41.47,22.9,Да
1,circle,square,high,low,low,37.84,28.55,39.44,28.53,1,hexagon,star,high,medium,medium,64.75,63.3,55.43,68.44,Да
0,hexagon,hexagon,low,medium,high,20.87,48.1,6.72,9.36,0,star,star,low,medium,medium,67.79,19.14,0.73,23.61,Да
1,star,hexagon,medium,low,high,82.39,20.3,30.18,75.54,0,star,triangle,medium,medium,high,53.12,48.27,0.88,86.37,Да
0,circle,circle,medium,low,medium,64.41,25.58,65.12,94.05,0,square,star,low,low,medium,28.18,97.79,7.45,35.18,Нет
0,circle,circle,medium,low,low,89.35,23.9,77.11,10.05,1,circle,square,low,medium,high,20.04,33.31,71.95,28.35,Нет
1,circle,circle,high,high,high,0.62,82.69,81.74,96.31,1,hexagon,star,low,high,medium,65.66,87.36,17.81,23.29,Да
1,hexagon,triangle,low,low,high,40.12,25.08,77.41,95.03,0,circle,triangle,high,high,medium,92.17,39.64,75.78,57.4,Да
0,star,star,high,medium,low,90.1,54.63,32.38,52.31,0,hexagon,hexagon,high,low,high,21.29,26.29,43.19,85.63,Нет
0,hexagon,star,high,high,high,67.54,62.82,69.41,29.58,1,triangle,circle,high,medium,medium,57.18,33.63,85.0,40.61,Да
0,triangle,triangle,high,medium,medium,46.89,74.47,96.91,13.81,0,circle,hexagon,medium,medium,low,52.93,12.77,87.03,25.25,Нет
0,square,triangle,medium,high,medium,41.45,2.9,13.65,82.39,0,triangle,triangle,low,high,medium,64.17,67.9,87.98,42.09,Нет
1,hexagon,triangle,high,high,medium,89.52,47.57,73.14,60.47,1,hexagon,star,high,medium,low,58.78,50.9,54.35,90.48,Да
0,triangle,square,high,medium,high,83.18,29.26,41.0,65.13,0,star,square,low,high,low,27.28,61.38,78.85,33.45,Нет
0,hexagon,triangle,low,medium,medium,1.23,83.4,22.5,86.09,1,triangle,star,low,low,low,69.14,30.31,66.19,65.57,Нет
0,circle,square,medium,high,high,12.11,3.67,32.0,44.39,0,hexagon,circle,high,high,low,27.27,65.35,18.67,32.97,Нет
1,square,circle,low,high,medium,51.23,20.7,16.65,36.81,1,hexagon,square,medium,medium,low,65.3,16.46,38.15,67.48,Да
0,square,hexagon,medium,medium,low,11.46,31.58,81.53,76.23,1,triangle,hexagon,high,high,medium,29.99,65.25,96.24,88.1,Да
0,triangle,star,low,high,medium,27.48,7.78,38.75,29.72,0,circle,triangle,low,medium,medium,8.24,8.11,77.26,59.86,Да
0,hexagon,hexagon,medium,high,low,83.49,39.54,93.76,32.79,0,star,hexagon,low,low,high,12.72,40.03,26.3,94.74,Нет
0,hexagon,star,medium,high,medium,38.61,74.38,96.64,38.11,0,hexagon,circle,medium,high,high,83.41,60.98,28.1,60.15,Да
0,hexagon,circle,high,high,high,45.09,21.23,96.57,85.64,1,circle,circle,high,low,high,12.14,85.53,25.42,97.49,Да
1,triangle,star,low,high,low,17.42,75.45,15.57,77.91,0,hexagon,star,low,low,high,33.05,81.24,32.88,72.37,Да
0,hexagon,circle,medium,low,low,60.23,52.9,34.64,29.14,1,hexagon,star,low,high,low,28.76,52.7,92.83,65.28,Да
