obj1_bin_0,obj1_nom_0,obj1_nom_1,obj1_nom_2,obj1_ord_0,obj1_ord_1,obj1_ord_2,obj1_qnt_0,obj1_qnt_1,obj1_qnt_2,obj1_qnt_3,obj1_qnt_4,obj2_bin_0,obj2_nom_0,obj2_nom_1,obj2_nom_2,obj2_ord_0,obj2_ord_1,obj2_ord_2,obj2_qnt_0,obj2_qnt_1,obj2_qnt_2,obj2_qnt_3,obj2_qnt_4,Collision
1,square,triangle,hexagon,medium,high,high,11.55,50.86,62.4,72.24,18.46,0,square,star,hexagon,low,high,high,20.26,23.33,78.63,49.03,16.22,Да
1,triangle,hexagon,square,low,low,medium,47.6,0.3,3.51,66.57,80.68,1,circle,star,triangle,medium,medium,low,45.89,60.54,79.75,81.01,2.94,Да
1,square,hexagon,square,high,high,medium,35.7,21.89,48.13,7.33,1.82,1,triangle,triangle,circle,high,medium,high,1.54,26.69,73.01,29.71,0.4,Да
0,circle,square,hexagon,low,high,medium,97.34,92.24,88.48,66.01,92.06,0,circle,triangle,star,medium,high,low,84.22,87.09,48.41,86.18,91.3,Да
0,triangle,triangle,square,low,medium,high,4.96,1.7,71.41,93.06,50.03,1,circle,star,hexagon,high,medium,high,9.2,89.03,8.82,83.08,15.2,Да
1,star,square,square,medium,medium,low,29.83,39.48,87.01,7.45,22.67,0,circle,triangle,hexagon,low,low,high,9.48,32.22,7.23,38.17,43.53,Да
1,star,circle,triangle,low,low,low,94.19,78.97,67.41,41.57,0.29,1,circle,hexagon,star,medium,high,high,88.28,64.53,91.64,41.17,5.72,Да
0,square,hexagon,triangle,high,low,medium,98.35,83.81,4.4,72.94,55.95,0,star,square,square,high,low,low,40.93,88.77,0.03,35.09,37.33,Да
0,square,triangle,circle,low,high,high,82.49,47.76,96.8,66.77,24.45,1,square,circle,square,medium,low,low,68.73,50.84,69.91,3.48,78.54,Да
0,star,hexagon,circle,high,high,low,7.6,23.25,91.8,22.65,63.13,0,square,circle,star,high,low,high,85.78,72.05,62.86,68.77,40.67,Нет
1,square,circle,square,medium,high,medium,56.14,59.97,12.66,16.31,28.12,1,triangle,circle,star,high,low,low,37.45,80.09,50.12,27.27,77.56,Да
0,square,circle,triangle,medium,high,high,40.01,26.38,11.27,78.42,8.8,1,star,circle,star,medium,medium,high,26.15,87.19,97.5,88.4,68.88,Да
0,hexagon,triangle,circle,low,medium,high,80.65,25.53,53.91,95.62,50.51,0,star,hexagon,hexagon,medium,high,medium,16.95,51.52,19.81,89.74,51.73,Нет
0,star,triangle,circle,high,low,low,5.5,80.76,75.71,76.76,56.45,0,square,hexagon,triangle,medium,high,medium,60.71,94.18,78.53,72.26,73.77,Да
0,star,circle,triangle,medium,low,high,19.71,15.43,38.22,96.32,45.26,0,triangle,square,hexagon,medium,low,medium,25.23,62.9,67.48,18.16,87.91,Да
1,square,hexagon,circle,high,low,medium,48.92,0.55,13.64,60.5,45.8,1,star,star,hexagon,high,high,low,63.43,15.17,97.44,8.93,79.3,Да
0,circle,star,hexagon,medium,low,medium,15.76,33.68,51.06,92.91,58.97,0,triangle,triangle,square,medium,high,medium,31.71,61.25,93.41,81.64,69.17,Да
1,hexagon,hexagon,hexagon,medium,medium,low,69.27,49.1,33.76,69.04,52.64,1,square,square,star,medium,low,high,34.78,29.85,12.86,89.31,70.18,Да
0,circle,star,triangle,high,high,high,82.08,70.51,35.18,90.89,13.26,0,circle,circle,hexagon,medium,low,high,24.91,37.21,30.77,35.2,16.11,Нет
1,square,square,triangle,high,low,low,70.45,78.11,64.5,16.16,19.71,1,star,triangle,hexagon,medium,medium,low,41.85,80.89,85.08,35.3,95.07,Да
1,star,triangle,circle,high,low,low,44.03,66.35,88.56,81.56,14.18,1,triangle,square,star,medium,medium,high,16.21,97.33,22.87,39.03,20.57,Да
1,circle,circle,square,medium,high,high,87.84,62.65,55.86,19.67,69.33,0,circle,circle,triangle,medium,low,medium,31.97,86.99,37.85,82.76,34.9,Нет
1,triangle,square,star,high,medium,low,13.77,66.57,68.76,2.74,52.86,1,square,square,square,low,medium,high,77.79,32.58,62.6,70.71,51.8,Да
0,circle,hexagon,hexagon,low,medium,high,26.03,27.15,65.99,51.76,42.99,0,hexagon,circle,circle,low,medium,low,21.56,45.37,56.29,12.2,12.62,Да
1,star,star,hexagon,high,low,medium,48.95,38.24,55.11,31.83,79.83,0,star,circle,hexagon,high,high,high,94.71,98.35,64.06,63.47,59.36,Нет
1,square,triangle,triangle,medium,low,low,6.13,61.64,31.08,4.35,32.58,0,star,hexagon,triangle,medium,low,high,49.29,92.35,71.35,0.98,18.27,Да
0,circle,star,square,high,low,high,9.57,6.56,37.78,98.03,56.81,1,triangle,circle,circle,medium,high,medium,10.69,97.69,72.88,71.04,92.34,Да
1,square,hexagon,triangle,high,medium,high,39.74,29.53,31.57,66.65,7.44,1,square,square,star,high,high,low,94.31,43.29,73.76,76.46,88.87,Да
1,hexagon,hexagon,circle,high,low,high,94.39,40.64,91.75,90.18,74.44,1,square,triangle,circle,medium,low,medium,45.67,80.06,99.17,81.49,54.44,Да
0,triangle,circle,square,low,high,low,90.84,53.34,82.66,99.91,69.52,1,star,hexagon,star,medium,high,high,55.7,87.12,35.66,62.56,44.95,Да
1,star,square,circle,medium,medium,medium,46.6,48.65,57.93,39.2,80.24,0,star,triangle,triangle,medium,medium,low,18.52,4.43,4.42,18.06,10.26,Да
0,star,triangle,hexagon,low,medium,low,14.22,71.81,91.22,25.47,88.45,1,triangle,star,circle,low,medium,high,33.33,26.61,34.89,79.37,82.33,Да
1,square,circle,triangle,low,high,medium,17.81,47.34,88.64,18.39,75.8,0,triangle,triangle,square,medium,medium,high,70.36,88.35,91.16,89.98,37.94,Да
1,triangle,star,triangle,medium,high,low,37.75,90.41,92.77,51.52,84.45,1,hexagon,star,triangle,low,medium,medium,12.4,38.87,8.34,63.38,24.63,Да
1,star,square,star,medium,medium,low,21.01,38.03,22.18,60.61,34.57,1,circle,star,circle,medium,medium,high,57.05,27.86,64.69,27.51,99.53,Да
0,circle,triangle,square,high,low,low,8.3,52.54,71.75,47.24,34.33,1,triangle,hexagon,hexagon,medium,high,low,69.35,27.27,42.32,17.94,66.83,Да
1,star,star,hexagon,medium,medium,medium,67.38,0.32,60.92,38.73,94.43,1,circle,triangle,circle,high,low,low,0.18,37.54,92.16,23.15,7.39,Да
0,circle,triangle,star,high,low,high,58.14,31.05,73.38,16.83,91.46,0,star,circle,circle,high,high,medium,83.76,24.4,92.86,1.69,80.13,Да
1,star,triangle,star,low,high,low,29.13,86.66,26.34,44.19,54.85,1,hexagon,hexagon,square,medium,high,medium,5.63,0.34,78.52,1.02,75.04,Да
1,circle,square,triangle,high,low,low,77.89,33.36,69.48,8.52,36.66,0,hexagon,hexagon,triangle,medium,medium,low,24.69,17.26,9.85,29.7,40.12,Да
1,hexagon,star,square,medium,high,medium,77.59,25.32,40.98,86.5,86.6,0,hexagon,circle,hexagon,medium,medium,medium,96.35,88.26,2.47,92.3,12.37,Нет
1,square,circle,triangle,high,low,low,49.1,54.35,83.41,4.69,32.34,1,square,triangle,triangle,low,high,high,8.1,7.56,13.66,62.13,49.74,Нет
0,hexagon,circle,square,low,low,high,9.65,7.87,79.54,38.06,15.36,1,star,hexagon,triangle,medium,high,low,82.59,41.3,32.18,38.61,76.33,Да
0,circle,circle,star,medium,high,high,91.85,53.16,21.14,10.01,63.95,0,square,star,hexagon,high,low,medium,65.2,45.65,24.14,1.08,7.6,Да
0,square,triangle,circle,medium,low,medium,66.87,30.37,18.39,77.5,4.26,1,square,circle,hexagon,low,low,low,59.84,77.82,36.98,98.97,16.34,Да
1,triangle,hexagon,hexagon,high,medium,medium,24.71,38.31,71.77,31.27,37.91,1,hexagon,square,square,medium,low,high,58.17,25.26,14.31,45.58,61.89,Да
0,circle,square,star,high,low,high,61.05,79.14,55.05,11.31,80.77,0,square,hexagon,star,low,low,medium,16.65,30.96,75.25,99.15,55.95,Нет
0,star,circle,triangle,high,medium,high,40.5,66.2,55.72,53.15,29.52,1,star,star,square,low,low,low,66.88,1.43,84.53,72.01,90.51,Нет
1,star,square,hexagon,low,high,high,63.53,44.61,75.25,91.63,93.13,1,star,triangle,hexagon,low,medium,high,95.16,90.28,48.8,5.12,81.48,Да
0,triangle,triangle,star,low,low,medium,47.39,57.75,85.5,90.86,95.58,1,square,triangle,circle,low,low,medium,7.7,68.56,95.65,85.9,91.88,Да
1,hexagon,square,square,medium,low,high,48.55,76.69,23.9,24.97,81.58,0,star,circle,circle,medium,high,low,33.24,26.28,12.03,53.04,46.6,Да
1,circle,circle,triangle,medium,medium,high,73.59,74.58,55.55,71.97,98.76,0,circle,star,triangle,high,medium,high,47.23,88.75,10.58,45.27,78.78,Да
0,star,circle,star,low,medium,high,61.37,18.53,82.9,3.03,53.08,0,square,circle,triangle,low,high,high,23.23,8.66,20.04,75.79,4.87,Да
0,square,triangle,square,high,high,low,8.0,30.09,87.28,13.19,56.92,1,hexagon,hexagon,star,high,medium,high,74.09,36.84,98.19,77.48,29.45,Да
1,triangle,triangle,square,high,medium,medium,6.54,34.82,28.74,49.95,83.62,1,hexagon,circle,star,low,medium,high,68.86,56.36,41.65,79.64,64.43,Да
1,hexagon,star,square,low,medium,medium,30.5,18.75,10.42,22.88,49.28,0,star,square,star,high,low,high,11.78,50.55,92.41,76.05,76.37,Да
1,hexagon,triangle,hexagon,high,medium,medium,43.02,1.22,23.28,79.83,40.67,1,star,circle,star,low,high,medium,56.95,65.49,20.2,64.13,57.05,Да
1,square,hexagon,triangle,low,low,medium,27.52,17.4,94.55,93.11,61.48,0,hexagon,circle,circle,low,low,high,36.89,29.76,84.61,67.56,48.07,Да
0,square,hexagon,square,high,low,low,65.15,80.82,46.25,0.43,65.77,0,circle,hexagon,hexagon,medium,high,medium,22.84,75.78,31.0,85.86,23.33,Да
1,triangle,circle,star,high,low,low,19.51,54.59,41.86,23.29,75.09,1,hexagon,star,star,medium,high,medium,84.83,40.54,73.44,69.05,17.42,Да
0,square,triangle,square,medium,low,low,70.41,34.17,1.31,43.96,66.82,0,square,square,square,low,low,low,5.47,12.53,97.45,10.14,87.55,Нет
1,star,hexagon,triangle,high,low,low,77.32,60.83,5.1,56.31,74.57,1,hexagon,circle,star,high,low,low,46.74,74.04,93.3,64.55,14.22,Да
0,hexagon,hexagon,hexagon,high,medium,low,12.43,73.98,66.87,91.59,67.46,1,triangle,hexagon,circle,medium,medium,medium,47.53,91.19,83.13,17.0,43.53,Да
1,square,star,square,low,medium,medium,65.08,35.44,58.98,89.19,48.04,1,circle,hexagon,triangle,medium,medium,high,57.01,36.44,5.02,1.43,88.85,Да
1,circle,triangle,star,low,low,medium,96.14,46.61,57.55,63.72,13.49,0,circle,hexagon,square,medium,medium,high,19.76,58.97,60.78,21.42,14.77,Нет
0,square,star,triangle,low,low,medium,19.28,6.42,11.03,25.74,78.54,1,hexagon,star,star,medium,high,medium,87.12,68.78,83.54,15.44,12.75,Да
1,hexagon,square,square,low,high,low,90.93,59.71,35.21,78.33,3.08,1,triangle,circle,circle,low,low,high,96.53,83.15,39.93,10.21,69.25,Да
0,star,star,hexagon,high,high,high,60.6,35.64,81.24,20.27,99.25,1,square,triangle,triangle,high,medium,medium,54.9,19.8,73.12,21.5,33.16,Да
1,square,square,circle,low,medium,medium,59.09,43.35,17.49,96.52,82.85,1,hexagon,square,star,medium,low,low,25.61,57.0,13.81,56.36,43.57,Да
1,star,square,star,medium,high,medium,5.19,42.26,88.27,0.58,67.09,0,square,triangle,circle,medium,medium,high,87.68,74.04,17.68,15.15,62.56,Да
1,circle,triangle,square,low,medium,high,74.83,63.24,12.15,56.98,96.66,0,triangle,star,circle,high,medium,high,98.82,19.91,64.37,27.94,37.9,Да
0,hexagon,square,square,high,high,low,47.83,57.25,16.91,8.84,61.25,1,hexagon,circle,hexagon,medium,low,high,74.19,47.25,43.71,84.96,79.98,Да
1,triangle,square,circle,medium,low,high,72.12,42.21,47.77,40.76,5.64,1,hexagon,triangle,circle,high,medium,low,33.37,46.44,21.83,88.81,96.9,Да
0,hexagon,star,triangle,high,low,high,80.92,1.7,94.53,63.49,55.94,0,square,triangle,star,low,low,high,23.6,83.93,28.29,33.31,93.31,Нет
1,triangle,triangle,circle,medium,medium,medium,52.38,62.1,32.95,68.96,27.72,1,hexagon,triangle,circle,medium,medium,medium,15.66,77.73,61.89,89.9,54.55,Да
0,triangle,triangle,triangle,medium,medium,medium,26.36,87.96,65.82,78.56,36.95,1,triangle,square,square,high,low,high,23.49,23.19,72.54,58.57,35.48,Нет
0,hexagon,square,square,medium,medium,low,14.16,76.96,58.87,59.33,45.96,0,hexagon,circle,circle,medium,medium,medium,22.73,23.3,20.76,22.64,43.37,Да
1,triangle,star,circle,high,medium,high,16.05,98.16,14.96,25.13,77.46,0,star,hexagon,circle,low,medium,high,96.74,72.34,95.52,75.43,33.02,Да
1,star,star,square,medium,high,low,86.69,13.91,24.82,88.93,50.29,1,triangle,circle,square,high,high,medium,64.32,73.96,0.82,92.21,44.17,Да
1,circle,star,circle,high,low,high,12.36,22.25,93.02,81.11,47.47,0,circle,triangle,star,high,low,low,16.7,17.89,70.01,65.92,1.3,Да
1,square,star,square,medium,high,medium,38.47,53.93,18.48,16.01,30.2,0,square,circle,triangle,high,medium,high,48.8,41.12,29.1,20.13,5.52,Да
0,triangle,circle,square,low,low,high,33.43,23.59,69.5,82.65,53.99,1,triangle,hexagon,hexagon,medium,high,low,18.46,82.58,47.85,8.59,77.13,Нет
0,triangle,square,square,low,low,low,86.55,3.45,96.47,97.26,24.84,1,circle,square,triangle,high,low,low,60.6,7.94,56.98,22.94,33.48,Да
1,hexagon,square,hexagon,medium,high,high,47.77,40.23,11.95,63.72,26.1,0,circle,circle,star,high,medium,high,34.14,37.39,56.15,33.85,79.44,Да
0,star,square,circle,medium,medium,low,99.64,28.76,39.92,28.18,75.73,1,triangle,circle,star,high,medium,high,19.56,64.45,77.63,33.37,47.99,Да
1,square,triangle,hexagon,low,high,high,73.71,26.38,22.39,60.66,34.25,1,circle,square,square,low,medium,medium,24.28,77.11,82.38,49.85,80.59,Нет
1,triangle,triangle,square,low,high,medium,85.09,95.32,22.16,34.25,5.14,0,circle,square,triangle,high,low,high,67.51,65.27,7.33,50.52,66.36,Да
1,star,star,star,high,high,medium,9.87,23.85,11.9,67.59,34.37,1,star,triangle,circle,high,high,high,40.8,39.75,70.3,47.14,20.1,Да
1,square,triangle,triangle,low,low,low,25.31,12.94,64.96,54.48,63.86,0,hexagon,triangle,square,high,medium,medium,51.32,99.2,39.91,34.38,44.77,Да
1,hexagon,hexagon,circle,high,medium,medium,13.54,12.53,74.63,92.95,81.4,0,star,square,square,low,high,medium,82.13,4.15,81.86,10.68,70.43,Да
0,triangle,square,circle,medium,low,high,46.36,80.63,67.68,61.79,96.19,1,hexagon,hexagon,hexagon,high,low,high,65.54,49.48,60.89,41.83,33.06,Да
1,hexagon,square,triangle,high,high,high,71.83,71.48,92.47,21.4,74.62,0,circle,triangle,square,medium,low,high,46.24,51.01,1.02,98.58,19.33,Да
0,hexagon,circle,hexagon,medium,high,medium,16.91,12.95,14.57,72.51,42.89,1,hexagon,hexagon,triangle,high,medium,high,95.41,23.98,66.65,65.39,53.99,Нет
1,triangle,circle,triangle,high,low,low,13.02,21.98,31.98,30.09,29.91,1,star,square,star,medium,medium,low,21.45,55.87,92.57,43.98,27.36,Да
1,star,hexagon,star,high,low,high,61.46,74.73,34.46,27.24,12.96,1,square,circle,hexagon,low,medium,low,28.9,22.01,8.31,8.35,59.43,Да
1,star,circle,square,high,medium,low,23.03,27.46,23.21,39.18,62.77,1,square,square,circle,low,high,high,91.14,44.34,49.42,21.32,27.17,Да
1,hexagon,star,triangle,medium,high,high,47.93,98.15,14.22,1.2,50.99,0,hexagon,square,triangle,high,high,medium,85.32,43.16,62.59,57.46,90.66,Нет
0,hexagon,star,triangle,medium,low,low,5.11,54.06,48.67,96.91,67.77,1,square,star,circle,high,medium,high,13.01,77.31,19.59,49.79,34.39,Да
0,circle,square,square,high,low,low,68.06,19.2,83.44,53.23,23.71,0,triangle,square,square,low,low,high,92.99,94.26,65.07,1.92,90.75,Нет
1,square,star,circle,medium,low,high,54.13,85.88,95.45,77.35,32.36,1,square,triangle,triangle,low,low,low,1.02,20.28,4.98,8.62,27.95,Нет
1,hexagon,circle,star,high,low,high,64.74,31.95,12.93,25.79,29.21,1,hexagon,circle,hexagon,low,medium,high,82.24,99.15,90.57,35.6,60.45,Нет
1,hexagon,hexagon,triangle,medium,high,low,27.54,28.88,82.32,74.66,79.77,0,circle,hexagon,hexagon,medium,high,high,27.88,94.03,76.27,14.08,13.02,Да
1,square,star,triangle,high,medium,high,27.86,32.74,82.46,56.72,17.12,0,star,star,circle,medium,low,low,18.87,11.27,94.1,95.78,77.84,Да
0,triangle,square,circle,low,low,medium,80.14,76.82,38.9,42.41,60.85,1,square,triangle,star,high,high,low,44.87,91.24,41.84,3.41,20.02,Да
0,star,square,star,low,low,high,71.86,17.32,11.0,97.07,5.14,0,hexagon,circle,hexagon,medium,medium,medium,89.71,56.46,3.42,97.4,86.4,Да
1,triangle,circle,square,high,medium,low,57.97,38.18,99.0,49.38,54.95,0,star,hexagon,circle,low,high,medium,78.59,87.9,34.15,65.66,45.24,Да
0,square,star,square,medium,high,high,62.81,3.08,65.56,65.75,6.39,0,triangle,circle,star,high,high,medium,96.71,94.56,51.58,40.72,9.45,Нет
0,square,circle,hexagon,high,low,high,9.4,82.66,98.22,1.53,17.59,1,circle,triangle,triangle,medium,high,high,54.1,85.89,93.59,53.94,36.35,Да
1,circle,square,star,low,medium,low,85.62,34.07,48.37,30.15,11.3,1,star,circle,hexagon,high,low,medium,51.06,40.29,88.31,41.01,77.97,Да
0,circle,hexagon,star,low,medium,high,76.99,24.82,39.52,88.87,34.67,1,star,square,hexagon,medium,high,low,1.3,63.68,59.41,57.32,7.63,Да
1,star,star,triangle,high,high,low,59.05,57.99,24.72,75.9,34.37,0,hexagon,circle,circle,high,high,medium,18.06,46.48,72.98,15.2,62.57,Да
0,hexagon,hexagon,hexagon,low,medium,low,91.86,70.5,98.36,53.68,82.64,1,triangle,square,hexagon,low,high,high,49.76,36.64,95.39,12.0,50.73,Да
0,square,star,square,high,high,low,16.86,81.29,25.33,90.02,22.57,1,square,triangle,circle,low,medium,high,75.26,25.07,85.06,52.86,30.99,Нет
1,circle,square,star,low,medium,low,68.67,34.78,2.38,48.62,8.64,0,triangle,star,hexagon,low,high,medium,82.26,44.15,65.88,7.13,75.56,Да
0,triangle,star,star,medium,low,medium,96.3,81.23,51.25,56.65,60.35,1,circle,square,circle,medium,high,high,28.33,80.6,54.01,29.25,5.24,Да
0,circle,square,circle,medium,high,medium,31.0,46.49,37.71,38.22,68.75,1,square,circle,hexagon,high,low,high,71.25,84.4,47.6,92.69,49.76,Да
0,triangle,triangle,square,medium,medium,low,1.53,10.11,26.14,62.0,29.48,1,triangle,circle,triangle,high,medium,high,82.85,95.8,75.66,87.62,50.69,Нет
0,circle,square,circle,high,low,high,73.49,84.63,63.46,31.9,60.28,0,circle,circle,triangle,high,high,medium,37.48,29.06,80.88,83.14,8.64,Нет
0,triangle,square,hexagon,high,medium,medium,0.7,54.76,36.43,38.55,77.61,0,star,triangle,circle,medium,low,high,69.56,65.04,21.76,50.72,13.6,Нет
1,circle,star,star,medium,low,low,87.25,60.25,40.23,96.63,34.76,1,star,hexagon,triangle,low,low,medium,43.73,69.38,47.4,2.79,40.97,Да
1,circle,hexagon,hexagon,medium,high,medium,5.63,93.75,2.3,11.13,52.54,1,star,circle,circle,low,high,medium,98.57,19.13,77.12,12.14,53.65,Да
0,star,square,circle,medium,low,low,65.28,55.92,58.91,10.53,14.66,0,star,circle,circle,high,low,high,0.67,36.69,67.57,91.95,5.32,Нет
1,hexagon,star,square,low,medium,medium,37.72,0.56,12.21,4.33,2.36,0,square,square,square,high,low,medium,41.43,34.23,59.16,83.64,1.18,Да
0,square,square,star,medium,low,low,20.33,87.06,21.38,32.0,98.14,0,star,star,triangle,medium,low,medium,26.37,98.59,32.37,37.65,19.26,Да
0,hexagon,circle,square,low,low,medium,89.83,28.48,71.71,39.82,29.97,1,square,circle,square,high,low,high,84.97,95.84,60.92,72.9,48.78,Да
1,star,circle,hexagon,medium,high,medium,74.62,50.18,31.32,9.45,27.89,1,square,triangle,square,high,high,high,28.71,82.18,61.21,85.45,4.03,Да
0,triangle,circle,triangle,high,low,high,34.04,20.49,16.32,54.91,97.32,0,triangle,hexagon,hexagon,medium,high,medium,54.38,47.28,43.24,62.03,73.32,Да
1,hexagon,circle,square,medium,low,medium,28.42,29.7,57.74,58.33,72.82,0,star,hexagon,circle,high,low,low,74.03,26.41,96.03,85.35,15.19,Да
0,square,hexagon,square,low,medium,high,73.6,68.66,21.49,75.1,58.53,1,hexagon,hexagon,star,low,high,low,49.72,91.6,65.31,24.47,77.26,Да
0,square,square,square,medium,medium,medium,83.66,42.96,27.1,97.6,69.93,0,star,triangle,square,medium,high,low,41.04,26.8,85.07,46.21,20.47,Да
1,triangle,circle,star,low,high,low,71.59,62.71,62.13,61.94,70.99,1,hexagon,hexagon,hexagon,low,low,low,4.25,52.19,12.9,57.9,34.66,Нет
0,square,star,hexagon,medium,high,high,64.0,82.36,73.99,11.17,76.33,0,star,hexagon,triangle,high,low,medium,2.29,24.51,75.68,63.12,47.91,Нет
1,star,circle,hexagon,low,high,medium,22.79,34.08,73.97,8.85,6.72,1,square,square,star,high,low,high,95.73,97.13,60.19,98.7,34.73,Да
1,hexagon,triangle,star,low,medium,high,85.28,56.83,48.22,77.75,41.28,0,star,hexagon,circle,medium,high,low,64.32,4.18,30.83,84.59,2.36,Да
0,square,triangle,square,medium,low,low,74.97,77.76,45.43,65.03,29.51,1,star,square,hexagon,medium,high,high,82.53,17.43,13.64,5.53,90.86,Да
0,hexagon,hexagon,square,medium,high,low,51.73,71.51,78.76,16.19,7.06,0,star,square,star,medium,medium,low,48.04,76.5,37.96,16.91,28.65,Да
1,circle,triangle,triangle,high,medium,low,51.16,53.98,19.3,25.34,41.26,1,star,square,circle,medium,medium,low,26.16,15.14,44.14,65.71,13.6,Да
0,hexagon,star,square,high,medium,low,56.92,38.34,15.22,75.02,61.62,1,triangle,triangle,circle,high,low,low,29.45,97.93,14.08,24.05,13.25,Да
0,triangle,circle,circle,high,high,low,82.83,40.75,66.47,56.62,17.85,1,triangle,circle,star,high,medium,high,4.35,32.14,67.01,15.9,97.46,Нет
1,star,triangle,square,low,medium,high,74.23,43.31,40.95,58.5,30.5,0,square,star,hexagon,low,high,high,79.09,91.86,30.71,66.67,12.31,Да
0,square,triangle,triangle,low,low,high,85.62,34.88,71.0,21.0,63.92,1,square,hexagon,star,low,medium,low,58.16,66.23,80.6,53.64,34.65,Да
0,star,hexagon,circle,high,medium,medium,50.73,69.91,25.66,62.91,57.93,1,hexagon,star,square,medium,medium,high,48.08,63.41,64.83,80.52,6.76,Да
1,hexagon,triangle,triangle,high,medium,medium,62.46,12.54,32.49,77.06,86.88,1,square,circle,circle,high,low,low,85.23,91.54,31.05,31.94,73.55,Да
0,square,circle,triangle,medium,low,low,85.46,96.75,89.67,88.53,79.12,0,triangle,square,triangle,medium,high,medium,44.48,51.33,36.0,32.97,59.68,Нет
0,star,square,hexagon,high,high,low,23.23,77.9,42.17,73.67,96.56,0,square,square,star,medium,high,high,94.79,40.08,94.21,15.05,53.36,Нет
0,triangle,circle,star,low,medium,high,44.4,29.82,59.1,57.64,59.72,0,hexagon,square,star,medium,high,low,1.32,21.76,94.81,65.23,85.58,Да
0,circle,triangle,triangle,medium,low,low,62.07,4.25,10.67,67.33,69.85,1,hexagon,square,circle,medium,high,medium,98.46,14.45,41.84,70.89,57.33,Да
