obj1_bin_0,obj1_nom_0,obj1_ord_0,obj1_ord_1,obj1_qnt_0,obj1_qnt_1,obj2_bin_0,obj2_nom_0,obj2_ord_0,obj2_ord_1,obj2_qnt_0,obj2_qnt_1,Collision
0,square,high,medium,74.81,19.02,1,triangle,medium,high,30.7,43.89,Да
0,circle,low,low,18.89,67.7,1,triangle,low,low,43.18,46.8,Да
0,star,low,low,15.76,71.28,0,square,medium,medium,87.31,45.45,Нет
0,circle,high,high,23.65,98.54,1,star,low,high,98.0,90.0,Да
1,square,medium,high,36.59,54.13,1,circle,low,low,24.65,8.71,Да
1,triangle,low,medium,79.37,27.14,1,circle,medium,low,94.83,78.29,Да
0,square,medium,high,73.79,68.37,1,triangle,low,low,68.87,83.5,Да
0,triangle,medium,medium,92.55,97.94,0,circle,medium,medium,95.14,94.29,Да
0,star,high,medium,5.86,17.72,1,square,medium,high,56.24,45.26,Да
1,hexagon,low,medium,1.16,32.6,0,hexagon,medium,medium,96.08,50.01,Нет
0,triangle,high,medium,69.91,54.19,1,triangle,low,low,89.25,96.13,Да
0,circle,high,high,27.93,17.02,1,hexagon,medium,medium,12.86,45.85,Да
1,square,high,medium,33.41,2.22,0,circle,high,medium,31.08,50.35,Да
1,square,high,high,54.68,33.7,0,star,low,low,24.31,33.23,Да
1,square,medium,medium,10.24,86.54,1,square,high,high,57.21,3.16,Нет
0,triangle,low,high,64.27,4.35,1,circle,high,high,80.28,43.31,Да
1,star,low,medium,32.51,42.89,1,square,high,medium,75.94,65.51,Да
0,triangle,low,high,63.27,76.22,1,circle,high,high,72.67,68.99,Да
1,circle,medium,low,83.4,95.32,1,circle,medium,low,37.53,0.65,Нет
0,square,medium,medium,17.11,98.55,1,circle,high,high,13.96,80.11,Да
0,triangle,high,medium,93.09,42.2,0,triangle,low,medium,21.06,49.24,Нет
0,square,high,low,53.07,95.04,1,hexagon,high,low,74.17,52.07,Да
1,circle,high,low,92.29,3.54,1,star,high,low,14.75,96.17,Да
0,hexagon,high,medium,20.77,74.59,1,hexagon,high,low,22.29,28.45,Да
0,hexagon,low,high,60.46,64.27,0,hexagon,medium,medium,42.46,76.17,Да
0,hexagon,high,medium,40.39,24.95,0,square,high,medium,7.21,57.48,Да
1,square,medium,high,77.42,50.73,0,triangle,high,high,21.27,70.08,Да
0,triangle,medium,low,60.59,12.96,1,triangle,high,medium,14.98,41.78,Да
0,square,medium,high,49.45,87.16,0,circle,low,low,95.13,27.92,Нет
0,star,high,medium,91.3,35.79,1,hexagon,medium,medium,19.15,54.61,Да
0,triangle,low,low,37.71,62.6,1,star,medium,medium,86.18,37.49,Да
1,circle,low,low,22.0,15.88,1,square,medium,high,11.48,22.29,Да
0,hexagon,high,medium,60.81,20.62,1,triangle,low,low,86.97,83.92,Да
1,triangle,high,medium,62.4,99.2,1,circle,high,high,59.94,47.58,Да
1,triangle,medium,low,43.91,75.31,1,star,low,high,84.97,84.73,Да
0,hexagon,medium,high,48.66,96.2,1,hexagon,medium,high,86.73,47.4,Нет
1,circle,low,high,95.96,29.59,0,star,medium,low,59.64,55.68,Да
1,square,medium,high,73.27,16.46,0,triangle,medium,high,91.77,99.53,Да
1,square,medium,medium,11.06,50.31,0,square,low,low,58.54,95.15,Нет
0,triangle,high,low,21.21,49.47,1,hexagon,medium,high,71.26,27.17,Да
1,hexagon,low,high,97.56,17.49,0,square,high,high,41.61,86.87,Да
1,star,high,low,72.65,73.32,1,star,low,low,91.41,39.04,Да
0,circle,low,high,91.5,36.18,0,star,high,medium,82.42,7.12,Да
0,square,high,low,30.39,18.64,0,circle,medium,high,16.67,57.58,Да
1,circle,low,medium,74.19,33.2,1,hexagon,medium,medium,57.64,97.71,Да
1,circle,medium,medium,71.4,56.37,0,star,low,high,89.68,97.43,Да
1,circle,low,medium,29.47,72.65,1,triangle,high,medium,79.31,12.65,Да
0,hexagon,low,high,55.08,48.19,0,triangle,low,medium,96.26,77.12,Да
1,hexagon,high,medium,62.74,52.56,0,square,high,medium,23.13,80.28,Да
0,hexagon,low,medium,48.11,13.89,0,triangle,medium,medium,36.75,36.87,Да
1,triangle,low,medium,82.72,91.47,1,star,low,medium,50.72,65.86,Да
1,hexagon,low,low,83.29,92.87,1,triangle,low,low,23.27,48.82,Нет
0,triangle,high,low,85.06,68.34,0,hexagon,high,medium,39.4,22.79,Нет
1,square,low,low,80.34,1.76,0,square,medium,low,53.75,76.13,Нет
0,square,high,low,48.81,53.71,1,hexagon,medium,high,19.13,26.28,Да
1,square,medium,low,38.14,62.92,0,star,high,low,25.67,34.04,Да
0,square,high,low,83.14,99.47,0,star,high,medium,12.48,19.0,Нет
0,square,low,low,49.02,99.61,1,triangle,high,low,71.34,71.93,Да
1,hexagon,medium,medium,24.64,85.76,0,circle,high,medium,36.16,45.87,Да
0,star,low,medium,50.73,6.38,0,circle,high,low,22.03,44.34,Да
1,hexagon,high,high,14.18,95.33,1,star,medium,high,50.73,60.46,Да
0,star,medium,medium,69.16,61.27,1,star,medium,medium,6.82,15.73,Нет
0,hexagon,medium,low,33.59,80.09,1,square,low,medium,92.34,89.82,Да
0,square,medium,low,26.07,40.72,1,star,medium,low,29.45,46.51,Да
1,circle,low,high,95.65,31.97,0,star,high,low,88.65,36.65,Да
0,star,medium,medium,77.69,46.32,1,square,medium,low,49.76,12.67,Да
0,circle,medium,medium,78.71,14.69,1,hexagon,medium,low,85.02,16.8,Да
0,square,medium,high,62.37,35.71,0,hexagon,medium,low,24.71,92.04,Нет
1,star,medium,low,83.92,85.76,1,square,low,medium,17.53,45.66,Да
1,circle,high,low,75.92,3.8,1,square,low,high,84.94,72.22,Да
0,hexagon,low,low,59.88,15.09,0,hexagon,high,low,21.29,8.05,Да
0,square,low,low,96.11,12.51,1,hexagon,high,medium,74.62,64.35,Да
1,hexagon,medium,high,19.16,40.31,1,hexagon,low,high,34.46,92.15,Да
0,hexagon,high,medium,94.34,99.7,0,hexagon,medium,high,74.82,30.0,Нет
0,square,medium,low,40.14,17.34,1,triangle,medium,low,90.76,57.91,Да
0,star,low,medium,52.84,14.55,1,square,low,medium,98.16,94.02,Нет
0,triangle,low,medium,12.27,91.51,0,circle,high,medium,35.98,71.93,Да
0,triangle,low,low,54.01,88.21,0,triangle,medium,medium,36.75,6.23,Нет
0,square,medium,low,61.12,3.22,1,circle,high,medium,98.14,37.87,Да
1,triangle,medium,low,99.77,75.17,1,circle,medium,medium,86.15,8.58,Да
0,circle,high,medium,97.52,65.55,1,star,high,high,4.51,86.13,Да
0,star,high,high,96.64,76.77,0,square,medium,high,57.34,62.17,Да
1,hexagon,low,low,34.84,49.45,1,triangle,high,high,18.12,95.64,Да
1,hexagon,low,medium,99.13,99.14,1,square,high,medium,99.4,1.98,Да
1,square,high,medium,45.55,4.38,0,hexagon,high,high,13.89,42.31,Да
1,hexagon,low,low,85.18,23.44,1,square,low,high,55.93,10.44,Да
0,circle,high,high,21.63,39.65,1,circle,high,low,66.52,35.05,Да
1,circle,medium,low,50.58,44.98,1,hexagon,low,high,93.71,16.19,Да
0,square,low,low,96.6,92.14,0,square,low,low,84.73,32.88,Нет
1,hexagon,low,high,94.7,56.0,0,square,high,medium,24.58,81.93,Да
1,triangle,high,low,68.37,4.51,1,circle,low,medium,57.26,16.07,Да
1,triangle,medium,low,79.78,40.79,1,hexagon,low,medium,95.36,47.37,Да
0,star,low,high,17.64,41.65,0,circle,low,medium,73.57,92.16,Нет
1,square,low,medium,72.17,96.55,1,square,medium,high,68.83,99.88,Да
1,star,high,medium,61.81,59.92,0,triangle,high,low,75.49,25.06,Да
1,triangle,medium,medium,9.16,63.57,0,triangle,low,medium,32.25,93.56,Да
0,triangle,high,medium,11.32,71.33,0,star,high,medium,72.93,26.14,Нет
0,triangle,medium,medium,10.84,77.0,0,triangle,low,low,23.29,41.35,Да
1,star,medium,low,72.44,63.51,0,hexagon,high,low,42.81,87.79,Да
0,square,high,high,14.17,23.72,1,star,low,low,88.99,78.62,Да
1,circle,high,medium,46.77,87.4,0,hexagon,medium,low,1.9,85.75,Да
0,circle,medium,high,35.7,73.21,1,triangle,medium,low,41.43,80.03,Да
1,triangle,high,medium,55.05,74.19,1,triangle,medium,high,26.68,23.51,Да
0,square,low,low,70.65,99.66,1,square,low,low,19.86,55.88,Нет
1,square,low,medium,68.47,80.25,0,hexagon,high,high,83.86,38.53,Да
0,hexagon,low,medium,51.55,82.92,1,circle,low,low,69.65,45.97,Да
0,hexagon,low,high,46.43,95.14,1,square,medium,low,11.26,15.4,Да
1,star,low,high,39.78,15.11,1,hexagon,low,medium,49.45,31.58,Да
1,hexagon,high,low,86.19,49.77,0,star,high,medium,46.69,85.76,Да
0,star,medium,high,33.09,58.06,1,hexagon,medium,medium,14.25,89.76,Да
1,circle,high,high,25.94,32.93,0,star,low,medium,79.98,61.02,Да
1,triangle,low,high,74.33,83.94,0,star,high,medium,36.67,49.83,Да
1,square,low,low,35.98,76.24,1,triangle,medium,medium,76.19,71.28,Да
1,circle,high,low,84.7,72.09,1,circle,high,low,19.21,60.89,Нет
