obj1_bin_0,obj1_nom_0,obj1_nom_1,obj1_ord_0,obj1_ord_1,obj1_ord_2,obj1_qnt_0,obj1_qnt_1,obj1_qnt_2,obj1_qnt_3,obj2_bin_0,obj2_nom_0,obj2_nom_1,obj2_ord_0,obj2_ord_1,obj2_ord_2,obj2_qnt_0,obj2_qnt_1,obj2_qnt_2,obj2_qnt_3,Collision
0,hexagon,hexagon,high,low,low,86.38,89.45,75.75,35.97,0,hexagon,star,low,medium,high,64.26,39.84,76.21,62.39,Да
0,star,hexagon,medium,medium,medium,50.79,51.34,6.06,93.7,1,circle,square,medium,high,medium,67.43,16.71,41.16,51.09,Да
1,star,star,low,medium,high,93.46,64.48,20.32,45.94,1,square,hexagon,high,high,medium,72.14,91.63,47.63,2.14,Да
1,triangle,triangle,low,medium,high,83.16,5.8,49.13,96.44,0,square,star,low,medium,medium,26.05,89.68,68.06,12.95,Нет
0,circle,square,high,medium,high,99.18,69.57,36.82,73.74,1,hexagon,square,high,high,low,58.27,98.42,87.67,81.1,Да
0,hexagon,star,low,low,medium,62.31,70.72,41.09,82.93,0,triangle,star,medium,medium,low,84.22,40.24,79.1,48.37,Да
1,circle,hexagon,high,low,high,77.92,35.92,78.14,10.49,1,square,triangle,low,low,high,29.62,81.86,2.24,14.6,Да
0,triangle,triangle,high,medium,high,54.29,21.97,1.47,58.61,0,star,hexagon,low,low,high,89.72,41.5,12.44,46.52,Да
1,star,star,medium,high,high,25.91,91.51,66.05,14.27,0,circle,triangle,medium,low,low,62.04,45.43,85.28,25.31,Да
1,star,square,low,high,high,35.48,42.67,0.01,29.76,0,triangle,triangle,medium,high,high,42.32,83.0,83.38,22.36,Да
0,circle,triangle,high,high,low,89.4,65.37,6.31,62.36,1,circle,hexagon,medium,medium,medium,62.32,17.74,38.88,95.77,Да
1,square,hexagon,low,high,medium,5.59,3.33,40.83,72.62,0,star,triangle,low,low,medium,40.19,22.03,58.43,36.2,Да
0,triangle,circle,medium,low,high,59.15,41.41,84.09,3.92,1,square,square,medium,low,medium,83.8,31.47,90.58,4.64,Да
1,star,square,low,low,high,37.25,81.73,14.5,53.09,1,circle,square,low,high,high,48.23,78.82,91.16,97.03,Да
1,square,triangle,medium,high,high,38.67,38.76,55.46,56.53,0,circle,star,low,high,medium,90.12,37.27,78.31,79.48,Да
1,star,star,medium,low,high,88.46,60.32,67.85,7.88,1,circle,square,high,low,medium,50.98,35.82,20.96,25.44,Да
0,star,star,medium,high,high,85.38,20.99,22.95,50.07,0,star,square,medium,high,low,66.04,99.88,73.03,40.89,Нет
0,square,triangle,high,medium,low,59.88,41.65,51.23,71.38,1,triangle,star,medium,high,low,99.77,38.38,10.11,86.23,Да
0,circle,star,high,medium,low,27.29,92.76,91.14,5.32,1,triangle,circle,high,high,high,14.7,24.78,89.39,35.74,Да
0,triangle,triangle,low,high,medium,47.55,56.65,51.22,76.03,0,star,hexagon,low,high,low,73.67,62.32,14.91,56.74,Да
0,square,square,high,low,medium,40.83,90.19,15.73,57.64,0,circle,square,low,medium,high,13.89,80.19,66.23,53.49,Да
0,square,star,high,high,high,35.36,90.2,62.78,83.32,1,circle,star,low,high,high,83.89,6.96,61.02,40.13,Да
1,star,square,low,low,high,10.28,94.41,59.22,21.81,0,hexagon,triangle,medium,high,low,59.65,61.89,77.69,63.95,Да
1,square,hexagon,medium,medium,low,54.31,89.54,2.7,83.33,0,square,triangle,low,medium,low,93.82,3.57,55.16,47.33,Нет
0,triangle,hexagon,medium,low,medium,30.18,0.33,9.06,9.46,1,square,square,high,high,high,86.6,52.63,5.96,2.12,Да
0,circle,hexagon,low,high,high,66.08,93.4,15.68,40.38,0,triangle,hexagon,low,high,high,7.49,25.7,70.58,81.44,Нет
0,circle,hexagon,high,medium,high,31.92,13.75,13.63,19.95,1,star,star,medium,low,high,13.73,30.66,38.32,11.32,Да
1,circle,star,low,medium,high,43.12,3.99,25.95,87.6,0,circle,star,medium,low,medium,60.12,46.71,32.03,46.41,Да
0,triangle,triangle,low,low,medium,5.24,5.54,45.41,70.49,0,square,star,low,low,medium,51.83,92.71,99.17,57.99,Нет
0,star,star,high,medium,low,99.25,34.89,37.17,2.54,1,star,star,low,medium,low,16.86,71.07,59.04,70.55,Нет
0,triangle,star,low,medium,low,50.76,62.08,89.06,0.95,1,star,star,medium,high,medium,12.94,93.68,71.07,41.08,Да
1,square,square,high,low,high,2.42,40.23,61.21,29.12,0,circle,hexagon,low,medium,medium,56.4,66.0,52.63,73.55,Да
1,hexagon,triangle,high,medium,high,54.12,2.56,87.61,14.33,0,star,star,high,medium,high,4.89,0.71,77.0,13.14,Да
1,hexagon,circle,low,high,high,87.04,47.65,52.7,63.03,1,square,hexagon,medium,high,medium,87.37,26.56,75.21,65.34,Да
1,hexagon,circle,medium,low,high,77.26,44.21,8.99,66.38,0,hexagon,hexagon,low,high,low,80.71,90.58,65.71,82.63,Да
0,circle,triangle,high,low,high,70.09,75.68,46.33,94.2,0,square,hexagon,low,low,medium,78.54,64.34,99.77,88.94,Да
0,triangle,circle,medium,low,medium,13.95,27.96,82.2,95.2,0,hexagon,triangle,low,high,medium,1.6,98.16,45.98,57.96,Нет
0,triangle,triangle,high,low,low,65.77,21.75,19.41,65.89,0,star,circle,high,medium,medium,4.76,15.6,70.62,31.29,Нет
1,circle,square,medium,high,medium,76.63,25.59,9.12,0.57,1,square,square,medium,low,low,54.98,29.67,79.78,16.34,Да
0,square,square,low,low,medium,57.24,30.37,32.94,35.9,0,circle,triangle,high,medium,low,99.44,36.24,37.6,34.56,Да
1,hexagon,star,high,high,high,89.27,59.92,38.89,51.31,1,star,circle,low,high,high,34.23,32.66,45.72,54.0,Да
0,hexagon,circle,low,low,medium,27.7,47.15,30.63,49.92,1,circle,triangle,high,low,medium,34.44,25.2,96.92,19.63,Да
0,circle,triangle,low,low,low,24.21,33.69,13.52,60.33,0,hexagon,hexagon,low,high,high,13.43,44.35,3.23,95.25,Да
0,hexagon,square,low,medium,high,86.96,37.43,25.08,96.06,1,triangle,hexagon,low,low,high,67.43,64.23,33.53,89.71,Да
0,star,star,high,medium,low,62.54,37.09,68.23,88.52,0,triangle,star,medium,low,low,64.67,31.13,48.62,3.3,Да
1,triangle,circle,low,high,medium,0.14,97.24,38.59,10.89,0,hexagon,hexagon,medium,low,high,10.13,7.97,0.15,56.2,Да
1,hexagon,circle,low,medium,high,35.31,23.3,63.25,26.6,1,triangle,triangle,low,high,medium,46.74,70.85,89.91,78.93,Да
1,hexagon,circle,high,low,low,85.79,81.81,53.63,83.31,1,star,square,low,low,high,66.71,45.9,28.62,24.54,Да
0,star,square,low,high,low,2.73,70.82,54.91,82.43,1,star,hexagon,low,low,low,49.35,55.65,25.77,52.39,Да
1,square,square,high,medium,high,0.32,0.56,24.85,27.54,0,square,circle,medium,high,low,67.44,45.54,82.03,40.6,Нет
0,square,circle,low,low,low,28.13,99.32,52.15,73.06,0,star,triangle,medium,medium,low,81.63,89.04,27.8,19.65,Да
0,star,square,medium,medium,high,91.4,75.64,2.36,67.2,0,triangle,circle,low,high,medium,68.58,55.87,65.76,61.47,Да
0,square,circle,low,medium,high,90.15,68.24,43.17,47.35,1,circle,star,medium,high,high,61.61,92.33,82.15,99.37,Да
0,circle,hexagon,medium,medium,medium,51.88,40.53,57.26,20.15,1,square,star,low,low,medium,85.36,51.06,79.25,36.53,Да
0,star,square,high,medium,low,55.32,55.52,18.2,88.86,1,circle,square,high,high,low,90.06,29.26,78.2,55.24,Да
1,triangle,triangle,medium,low,high,33.2,25.33,25.66,67.79,1,triangle,triangle,medium,high,medium,38.89,35.54,8.86,32.79,Да
1,triangle,square,high,medium,medium,24.37,3.55,21.95,16.9,1,circle,square,low,high,low,17.32,52.21,7.98,87.69,Да
0,triangle,circle,low,high,medium,81.52,83.6,7.06,70.48,0,triangle,circle,high,low,medium,81.79,53.0,30.68,86.46,Да
0,hexagon,triangle,medium,high,high,10.63,89.65,34.79,74.14,0,star,square,low,high,medium,21.38,68.73,3.59,17.88,Да
1,star,star,low,medium,high,48.74,16.25,97.9,88.69,1,square,circle,high,low,high,92.9,22.45,50.04,89.99,Да
0,star,triangle,medium,high,low,63.44,78.71,35.39,22.28,1,hexagon,square,medium,high,high,2.29,65.88,39.48,15.15,Да
1,square,triangle,high,medium,low,10.37,74.12,46.05,98.88,1,triangle,star,medium,low,low,92.13,77.86,55.7,9.54,Да
0,star,square,high,low,low,51.96,17.84,65.31,15.34,1,star,triangle,low,low,high,58.92,67.66,29.88,65.29,Да
1,star,triangle,high,low,high,57.75,42.18,64.85,60.07,0,circle,square,medium,high,high,77.47,48.18,48.58,38.59,Да
0,square,triangle,high,high,medium,74.25,42.28,94.99,65.72,1,star,circle,medium,medium,medium,39.85,99.17,33.47,53.07,Да
1,star,circle,low,high,medium,23.48,76.0,85.76,41.9,1,circle,triangle,high,high,low,99.17,40.48,19.52,65.26,Да
0,star,square,low,medium,high,29.33,83.77,79.4,47.5,1,circle,star,medium,medium,medium,22.76,10.66,64.94,5.28,Да
0,circle,circle,low,medium,low,56.95,9.48,95.16,89.09,0,circle,star,high,low,medium,26.43,82.15,67.34,29.3,Нет
0,square,square,low,medium,medium,98.31,56.3,23.08,64.53,0,circle,hexagon,high,medium,high,5.14,21.22,82.92,46.09,Нет
0,circle,star,low,low,medium,21.75,76.17,61.71,49.7,1,square,triangle,high,medium,high,94.05,71.33,87.48,26.66,Да
0,hexagon,triangle,high,medium,low,98.59,78.62,88.72,12.83,0,circle,square,medium,low,low,45.6,17.9,70.45,4.9,Нет
1,square,square,low,low,medium,71.43,14.8,62.41,0.73,1,square,star,low,medium,high,67.49,1.69,68.75,8.67,Да
0,star,triangle,low,high,low,82.61,52.55,97.74,12.5,1,hexagon,square,low,high,medium,68.74,15.98,5.67,80.17,Да
0,star,triangle,low,low,medium,8.96,85.76,10.04,95.62,1,square,square,medium,medium,high,87.45,37.7,10.98,91.14,Да
0,circle,hexagon,high,high,medium,30.04,31.85,43.93,76.41,0,circle,circle,high,low,low,66.49,10.66,81.26,15.22,Да
0,circle,circle,high,low,medium,5.77,42.51,97.74,96.71,1,hexagon,square,medium,medium,low,56.2,19.77,23.3,24.93,Да
1,hexagon,square,high,low,low,37.15,80.44,37.96,3.57,1,star,hexagon,low,low,medium,71.03,76.46,35.56,65.22,Да
1,hexagon,star,high,medium,medium,98.13,8.93,73.96,68.02,0,square,triangle,high,low,medium,75.1,76.99,14.53,95.43,Да
1,star,hexagon,low,high,medium,10.53,85.95,3.04,4.43,0,star,triangle,medium,high,high,18.59,81.75,19.52,29.96,Да
0,triangle,circle,low,low,medium,56.24,31.12,69.48,78.21,1,hexagon,circle,high,low,low,10.97,84.12,77.54,85.52,Да
0,hexagon,star,medium,low,high,0.61,0.15,93.46,38.1,1,square,hexagon,high,medium,medium,7.48,42.04,26.19,50.6,Да
0,star,star,low,high,medium,71.27,23.42,38.27,9.58,0,circle,hexagon,low,high,high,37.41,86.75,44.9,95.66,Нет
0,hexagon,triangle,high,low,medium,19.72,8.95,2.13,56.8,0,square,triangle,high,high,high,49.8,52.59,15.17,13.63,Да
0,square,circle,high,high,low,12.96,9.24,2.79,28.01,0,circle,hexagon,medium,medium,high,61.56,47.06,67.79,97.37,Нет
1,circle,hexagon,low,high,low,33.7,69.28,89.2,65.96,1,triangle,star,high,medium,medium,95.8,71.85,72.83,44.1,Да
1,star,square,medium,high,high,77.1,21.4,72.25,65.82,1,square,square,high,high,medium,33.08,21.38,36.17,95.29,Да
1,hexagon,square,high,low,low,10.66,93.47,10.67,70.5,0,square,square,medium,low,high,76.09,78.95,78.47,45.87,Да
0,circle,hexagon,medium,low,low,22.98,51.64,5.46,99.25,0,star,triangle,low,high,high,53.14,42.95,23.99,53.01,Да
1,triangle,triangle,high,medium,low,0.85,46.01,80.48,38.67,1,star,triangle,low,high,medium,22.01,12.73,69.19,80.48,Да
1,hexagon,triangle,high,high,high,96.84,43.43,80.99,46.53,0,hexagon,hexagon,medium,high,low,61.53,11.93,73.0,72.26,Да
0,star,star,low,low,high,59.21,69.26,12.05,80.46,1,circle,circle,high,low,high,96.72,16.49,96.87,61.96,Да
1,square,circle,high,low,medium,71.99,45.23,30.15,57.84,1,star,triangle,medium,medium,low,12.43,89.06,23.23,41.7,Да
0,circle,star,medium,high,medium,65.14,12.86,78.0,3.73,1,hexagon,triangle,medium,medium,low,50.73,99.09,9.37,79.24,Да
0,circle,square,medium,high,low,14.44,88.02,52.54,84.31,0,circle,triangle,medium,medium,medium,5.16,35.7,26.3,94.82,Да
0,square,hexagon,low,high,medium,59.49,42.84,95.66,5.15,1,circle,hexagon,low,low,medium,32.12,29.21,12.29,0.98,Да
0,star,circle,high,medium,medium,13.14,7.4,48.11,17.08,0,circle,star,high,low,low,62.06,21.88,16.97,58.78,Да
0,triangle,hexagon,medium,medium,high,40.12,52.94,67.7,10.21,0,triangle,triangle,medium,medium,medium,84.11,82.38,33.41,86.6,Да
1,square,circle,low,medium,high,56.9,64.73,50.98,7.79,0,circle,star,low,medium,low,73.03,20.92,41.4,65.31,Да
0,triangle,square,medium,high,medium,55.89,27.56,94.3,2.57,0,hexagon,hexagon,low,medium,low,46.29,92.41,90.37,80.08,Нет
0,star,square,low,low,medium,11.91,80.03,39.87,5.5,1,circle,circle,high,medium,medium,90.92,66.74,19.56,89.51,Да
1,hexagon,circle,medium,high,medium,3.44,66.98,22.98,44.24,1,circle,square,medium,low,medium,30.27,89.71,97.18,75.1,Да
0,hexagon,triangle,high,low,low,79.82,65.03,32.66,25.29,1,hexagon,square,high,medium,high,75.4,55.4,81.02,71.7,Да
0,star,circle,medium,medium,high,72.59,42.08,85.28,12.65,0,square,square,medium,high,medium,47.4,69.07,88.15,96.47,Да
1,triangle,square,medium,medium,medium,8.18,96.19,49.79,65.87,1,circle,square,low,medium,high,89.86,61.95,92.94,86.37,Да
1,square,hexagon,low,medium,medium,12.74,27.42,35.43,22.61,1,hexagon,hexagon,low,low,medium,79.74,83.12,75.32,81.54,Нет
0,star,star,low,low,low,89.26,57.77,54.43,1.89,1,star,square,high,high,medium,90.15,83.59,78.88,8.64,Да
1,star,hexagon,low,low,high,76.91,30.91,13.32,41.84,1,hexagon,hexagon,medium,high,medium,21.42,58.98,43.78,23.9,Да
0,hexagon,square,medium,high,low,99.62,74.48,0.54,31.04,0,triangle,circle,high,high,medium,66.82,63.25,51.05,55.68,Да
1,square,hexagon,low,high,low,25.4,4.78,28.06,31.86,0,star,triangle,medium,low,low,73.85,92.19,93.25,70.96,Да
1,hexagon,triangle,high,high,medium,48.78,4.59,60.5,44.53,1,square,triangle,high,medium,medium,74.24,92.99,37.83,30.32,Да
0,triangle,triangle,low,medium,low,23.65,81.09,71.17,66.89,0,square,triangle,low,low,low,50.4,66.42,4.19,9.33,Да
0,triangle,circle,low,high,low,62.28,43.43,82.66,61.65,0,hexagon,hexagon,high,low,medium,1.13,0.78,76.28,31.11,Нет
0,circle,hexagon,high,medium,medium,11.54,34.12,92.67,93.73,0,hexagon,hexagon,medium,high,medium,26.14,10.44,57.32,77.1,Да
1,star,hexagon,low,low,high,12.72,60.75,41.21,51.77,1,circle,hexagon,high,high,low,32.33,85.79,81.49,87.74,Да
1,square,square,low,medium,medium,7.19,70.19,74.05,47.26,1,circle,circle,medium,low,medium,85.2,8.47,7.56,91.29,Да
1,square,circle,medium,medium,high,69.36,20.12,7.47,21.34,0,triangle,star,high,high,high,84.09,21.35,62.12,37.89,Да
0,hexagon,circle,medium,medium,low,49.41,18.54,5.75,75.54,0,circle,hexagon,medium,low,high,10.47,23.05,24.77,37.25,Да
1,hexagon,hexagon,low,low,low,61.77,95.82,12.48,14.08,0,hexagon,hexagon,medium,high,medium,94.98,60.02,90.33,40.67,Да
0,square,star,high,low,medium,87.93,58.97,44.86,49.11,0,hexagon,triangle,medium,medium,high,18.25,57.66,10.99,37.58,Нет
0,hexagon,hexagon,low,high,medium,74.03,39.01,21.13,42.13,1,circle,square,high,medium,high,41.44,28.94,84.31,66.62,Да
1,circle,hexagon,low,high,medium,46.17,80.14,28.69,65.83,0,triangle,square,high,medium,high,21.52,20.76,8.86,35.83,Да
1,star,hexagon,low,high,low,98.44,52.52,64.79,91.76,1,hexagon,circle,low,high,high,86.03,76.45,2.51,2.03,Да
1,circle,triangle,medium,low,low,45.63,24.17,35.85,94.66,0,triangle,square,medium,high,low,74.94,93.55,23.51,43.9,Да
1,triangle,circle,high,low,high,11.25,20.67,55.74,16.78,1,hexagon,star,low,medium,low,35.35,5.28,33.3,22.42,Да
1,square,triangle,high,low,medium,99.27,39.69,41.24,26.18,0,triangle,triangle,low,low,low,68.19,13.32,62.65,2.88,Да
0,circle,star,high,low,low,2.28,85.99,16.9,81.16,1,triangle,circle,medium,low,high,18.44,64.22,13.17,47.08,Да
1,circle,square,medium,low,high,54.99,6.14,7.4,51.83,1,triangle,square,low,medium,high,38.23,80.44,43.73,20.6,Да
0,hexagon,star,medium,medium,medium,30.91,21.85,23.62,45.3,0,circle,square,high,high,low,37.71,79.12,20.43,45.27,Да
1,hexagon,circle,low,high,medium,50.36,89.32,5.77,71.06,0,square,triangle,low,low,high,23.79,71.97,85.53,27.77,Да
1,hexagon,square,medium,medium,high,55.87,12.17,61.86,60.19,1,triangle,circle,high,low,low,87.63,88.74,4.5,60.37,Да
0,triangle,star,low,high,high,24.01,62.96,79.57,97.07,1,triangle,triangle,medium,low,low,67.88,21.73,35.59,99.09,Нет
1,circle,circle,medium,medium,high,55.69,21.35,33.97,58.4,0,hexagon,circle,medium,high,low,27.99,10.73,63.14,54.72,Да
1,star,star,low,low,low,75.61,60.59,38.71,46.6,0,square,square,medium,low,high,24.21,61.54,91.31,64.69,Да
0,hexagon,square,medium,high,medium,26.65,38.31,81.62,54.28,0,hexagon,triangle,low,low,low,1.8,82.23,86.8,91.93,Да
0,triangle,square,high,medium,medium,38.34,10.17,22.26,80.85,0,hexagon,triangle,medium,medium,medium,34.66,58.2,89.52,37.4,Да
1,triangle,star,low,high,high,26.82,58.25,11.92,61.27,1,triangle,star,medium,high,low,52.68,96.3,6.29,16.65,Да
1,hexagon,triangle,medium,low,low,82.06,68.3,50.11,64.7,1,star,triangle,high,medium,low,27.77,79.56,84.09,28.28,Да
1,square,star,medium,low,high,72.5,68.03,64.62,97.14,1,square,circle,low,low,medium,70.05,70.08,77.99,40.28,Да
0,circle,star,low,high,low,87.12,63.7,59.97,61.84,0,hexagon,star,low,high,high,41.17,6.03,90.24,64.5,Нет
1,hexagon,star,medium,high,medium,17.0,50.02,71.39,38.03,0,star,triangle,medium,high,low,31.63,10.77,31.16,0.46,Да
1,star,triangle,high,low,medium,7.36,51.95,5.68,69.13,0,star,triangle,low,medium,medium,93.91,78.48,91.18,85.34,Нет
1,circle,hexagon,low,low,low,11.94,63.56,42.82,65.95,1,hexagon,star,medium,medium,high,26.28,19.82,40.26,7.61,Да
0,triangle,square,low,low,medium,16.1,69.03,23.86,1.38,0,triangle,square,high,high,medium,39.83,2.88,63.41,90.07,Нет
1,star,circle,low,medium,medium,53.31,65.49,75.91,46.73,1,circle,triangle,low,high,low,38.23,91.08,42.42,94.94,Да
0,circle,square,low,high,high,97.09,58.69,87.27,74.29,0,hexagon,hexagon,low,medium,medium,24.12,89.08,42.76,99.01,Нет
0,star,square,low,low,low,35.72,15.58,28.13,49.9,1,triangle,square,high,low,high,21.75,21.85,54.66,80.95,Да
0,triangle,hexagon,high,high,medium,95.85,21.06,9.52,77.96,1,square,triangle,low,high,low,30.24,78.02,35.59,14.19,Да
0,hexagon,square,low,medium,medium,3.82,26.02,25.34,45.09,1,triangle,square,medium,low,medium,86.42,4.8,79.27,70.62,Да
0,star,square,high,medium,low,92.69,91.97,10.4,98.33,0,star,circle,low,medium,high,76.71,28.51,63.36,20.33,Нет
1,hexagon,triangle,high,low,medium,18.12,75.94,32.24,29.29,0,square,square,low,high,high,68.1,62.37,68.98,89.71,Да
0,triangle,triangle,high,high,low,91.25,55.29,53.82,9.21,0,square,star,high,medium,low,45.71,76.32,23.1,31.66,Да
1,triangle,triangle,low,medium,low,5.62,25.21,97.37,43.0,0,circle,triangle,high,high,low,50.78,1.04,96.96,32.68,Да
1,star,triangle,high,high,high,94.82,11.09,39.94,54.17,1,circle,square,medium,high,low,26.71,32.62,66.02,91.77,Да
0,star,triangle,low,high,low,20.08,89.88,22.0,34.91,1,hexagon,hexagon,low,medium,low,7.43,21.43,19.72,1.32,Нет
0,triangle,circle,high,low,high,30.27,89.27,16.68,24.23,0,triangle,circle,low,medium,medium,33.1,99.88,75.05,19.4,Да
0,star,hexagon,low,medium,medium,49.09,11.07,17.3,67.21,0,hexagon,circle,high,low,high,49.56,67.1,17.37,42.19,Да
0,star,star,medium,medium,low,38.07,79.72,19.26,37.71,0,circle,square,medium,medium,low,5.73,40.57,6.34,70.07,Да
1,star,triangle,medium,medium,high,66.75,44.66,76.23,63.14,0,star,star,low,medium,low,8.82,7.57,52.76,64.76,Нет
1,star,hexagon,high,high,low,97.48,32.4,6.1,77.91,1,circle,circle,medium,low,low,26.3,59.87,55.35,66.94,Да
0,circle,star,medium,medium,medium,60.64,73.91,99.74,76.1,0,triangle,square,low,medium,medium,36.71,64.17,18.9,88.0,Да
0,triangle,square,high,medium,high,72.15,61.43,52.27,37.53,1,star,square,high,low,high,39.33,81.64,34.84,12.1,Да
1,triangle,square,high,high,high,8.8,78.0,54.43,56.79,1,hexagon,circle,high,low,high,11.79,28.86,94.58,52.22,Да
1,square,hexagon,high,medium,high,62.78,7.43,35.76,44.97,1,hexagon,square,high,medium,low,22.58,98.14,28.5,72.55,Да
0,hexagon,circle,medium,medium,medium,45.38,31.86,69.03,87.08,0,circle,square,high,low,high,26.16,43.95,15.56,63.61,Да
1,square,circle,high,high,high,88.58,31.93,47.15,87.88,0,circle,hexagon,high,low,medium,6.76,29.59,99.26,44.83,Да
1,star,hexagon,medium,medium,medium,38.82,32.98,32.91,34.37,0,hexagon,square,high,low,high,32.61,34.84,30.23,1.71,Да
1,star,circle,medium,low,medium,67.95,50.25,26.51,9.17,0,hexagon,square,medium,medium,low,7.22,51.96,68.03,6.05,Да
0,circle,circle,low,high,low,22.82,28.3,92.57,16.76,1,square,star,high,medium,high,70.35,93.67,23.16,11.89,Да
0,circle,square,medium,medium,medium,25.94,44.44,29.1,36.7,0,triangle,circle,medium,low,medium,38.6,73.52,55.01,34.32,Да
1,circle,circle,low,low,high,37.61,36.78,43.64,56.42,1,square,star,high,medium,medium,32.68,57.71,38.63,11.77,Да
0,circle,circle,high,high,high,30.41,73.53,35.03,65.68,0,square,triangle,low,high,high,12.65,16.28,96.16,42.61,Да
1,circle,hexagon,high,medium,medium,25.39,60.35,8.62,33.14,1,hexagon,star,low,low,high,22.65,14.94,43.28,17.86,Да
1,circle,circle,low,high,medium,4.97,65.36,18.59,66.75,1,triangle,triangle,low,high,low,23.27,50.22,58.42,77.92,Да
0,circle,triangle,high,low,low,83.67,21.06,18.95,93.77,1,hexagon,triangle,medium,medium,low,98.52,72.87,94.48,87.15,Да
0,circle,triangle,low,high,low,6.43,32.55,69.36,65.2,0,square,star,high,high,low,83.53,75.1,98.92,38.96,Нет
1,circle,hexagon,low,medium,high,88.74,2.12,40.66,15.86,1,square,hexagon,medium,medium,high,1.53,22.59,10.17,51.13,Да
0,triangle,triangle,high,low,medium,12.55,10.84,78.2,57.97,1,hexagon,star,high,medium,medium,61.68,10.01,83.43,95.35,Да
0,circle,square,low,high,high,6.53,26.51,70.9,54.19,0,circle,circle,low,low,medium,25.59,38.45,38.21,53.55,Да
0,hexagon,hexagon,low,medium,medium,56.3,6.55,19.2,87.07,1,circle,star,medium,high,high,10.44,91.82,59.48,99.51,Да
0,circle,circle,low,medium,high,50.24,60.26,56.29,35.03,0,hexagon,hexagon,high,low,medium,70.56,54.54,37.5,14.21,Да
1,star,triangle,high,low,high,49.12,99.81,74.29,42.29,0,star,star,medium,high,medium,13.16,32.01,40.11,86.22,Нет
1,star,square,high,low,high,57.45,10.08,63.3,59.87,1,star,hexagon,medium,medium,high,44.37,32.36,15.89,49.72,Да
0,circle,hexagon,high,high,medium,28.71,82.12,60.0,52.44,1,circle,circle,low,medium,medium,63.22,13.21,57.28,2.27,Нет
1,circle,hexagon,high,medium,low,66.29,11.88,73.96,71.9,0,triangle,square,low,low,high,55.45,47.32,54.67,97.22,Да
0,star,circle,high,low,low,50.24,66.99,5.68,4.04,1,square,hexagon,low,high,low,97.76,79.14,18.94,96.5,Да
0,hexagon,star,medium,medium,medium,33.47,64.32,73.14,56.35,0,triangle,hexagon,low,high,medium,78.57,96.86,54.17,38.33,Да
